제품번호,물품대분류,상품명,물품판매량,제품단가
P100161,FC,좋은느낌 유기농 입는 오버나이트 중형 8개입 (EA),6,12780
P100162,FC,좋은느낌 유기농 입는 오버나이트 중형 8개입 X 2,1,28400
P100163,FC,좋은느낌 유기농 입는 오버나이트 중형 8입,112,21046
P100164,FC,좋은느낌 유기농 입는 오버나이트 중형 8입 (EA),2,31950
P100165,FC,좋은느낌 유기농 탐폰 슈퍼 12개입,42,15767
P100166,FC,좋은느낌 유기농 탐폰 슈퍼 12개입 (EA),15,9240
P100167,FC,좋은느낌 유기농순면 뉴 맥시슬림 날개 대형 14개입,77,9823
P100168,FC,좋은느낌 유기농순면 뉴 맥시슬림 날개 대형 14개입 (EA),27,8133
P100169,FC,좋은느낌 유기농순면 뉴 맥시슬림 날개 중형 14개입,110,10600
P100170,FC,좋은느낌 유기농순면 뉴 맥시슬림 날개 중형 14개입 (EA),26,6788
P100171,FC,좋은느낌 유기농순면 뉴 맥시슬림 수퍼롱 오버나이트 8개입 (EA),37,6555
P100172,FC,좋은느낌 유기농순면 뉴 맥시슬림 오버나이트 12개입 (EA),23,7642
P100173,FC,좋은느낌 유기농순면 뉴 울트라 날개 중형 18매X2팩 + 날개 대형 16매X1팩,22,25200
P100174,FC,좋은느낌 유기농순면 뉴 울트라 날개 중형 18매X3팩,24,25575
P100175,FC,좋은느낌 유기농순면 뉴 울트라슬림 날개 대형 16개입 (EA),17,8735
P100176,FC,좋은느낌 유기농순면 뉴 울트라슬림 날개 중형 18개입 (EA),11,8640
P100177,FC,좋은느낌 유기농순면 팬티라이너 롱 36개입 X 2,149,10933
P100178,FC,좋은느낌 유기농순면 팬티라이너 롱 36개입 X 2 (EA),5,7200
P100179,FC,좋은느낌 입는 오버나이트 대형 8개입,444,14301
P100180,FC,좋은느낌 입는 오버나이트 대형 8개입 (EA),19,14560
P100181,FC,좋은느낌 입는 오버나이트 대형 8개입 X2,11,32582
P100182,FC,좋은느낌 입는 오버나이트 대형 8개입 X 2,12,24267
P100183,FC,좋은느낌 입는 오버나이트 중형 8개입,206,14178
P100184,FC,좋은느낌 입는 오버나이트 중형 8개입 (EA),9,10640
P100185,FC,좋은느낌 입는 오버나이트 중형 8개입 X2,13,22400
P100186,FC,좋은느낌 입는 오버나이트 중형 8개입 X 2,15,25387
P100187,FC,좋은느낌 좋은순면 슬림 날개 수퍼롱 10개입,23,13283
P100188,FC,좋은느낌 좋은순면 울트라 날개 대형 17개입,95,9881
P100189,FC,좋은느낌 좋은순면 울트라 날개 대형 17개입 (EA),1,5670
P100190,FC,좋은느낌 좋은순면 울트라 날개 중형 19개입,121,10674
P100191,FC,좋은느낌 좋은순면 울트라 날개 중형 19개입 (EA),1,5670
P100192,FC,좋은느낌 좋은순면 팬티라이너 롱 36개입,479,8023
P100193,FC,좋은느낌 좋은순면 팬티라이너 롱 36개입 (EA),18,5400
P100194,FC,좋은느낌 팬티라이너 유기농 순면 롱 36개입,609,9277
P100195,FC,좋은느낌 팬티라이너 유기농 순면 롱 36개입 (EA),9,8000
P100196,FC,좋은느낌 팬티라이너 유기농 순면 롱 36개입 X 3,24,21938
