filename,width,height,aspect_ratio,mean_R,mean_G,mean_B,std_R,std_G,std_B,brightness,contrast,min_brightness,max_brightness,median_brightness,hue,saturation,value,red_ratio,green_ratio,blue_ratio,dark_ratio,bright_ratio,edge_strength,bright_TL,bright_TC,bright_TR,bright_ML,bright_MC,bright_MR,bright_BL,bright_BC,bright_BR
IR_SU_NT_W1_H1_C4C3_0003.jpg,1920,1080,1.778,63.8,63.8,63.8,16.5,16.5,16.5,63.8,16.5,35.0,173.0,57.0,0.0,0.0,0.25,0.0,0.0,0.0,0.646,0.0,0.82,80.1,88.1,83.2,55.1,57.7,60.1,48.8,50.7,50.0
IR_SU_NT_W1_H1_C4C3_0004.jpg,1920,1080,1.778,49.2,49.2,49.2,8.9,8.9,8.9,49.2,8.9,35.0,177.0,51.0,0.0,0.0,0.193,0.0,0.0,0.0,0.922,0.0,0.71,52.2,52.5,53.2,55.2,54.9,55.1,39.8,39.8,40.0
IR_SU_NT_W1_H1_C4D4E4_0001.jpg,1920,1080,1.778,52.8,52.8,52.8,11.0,11.0,11.0,52.8,11.0,34.0,183.0,53.0,0.0,0.0,0.207,0.0,0.0,0.0,0.843,0.0,0.71,54.2,58.2,63.3,56.4,58.5,61.2,39.7,41.0,42.6
IR_SU_NT_W1_H1_C4D4E4_0002.jpg,1920,1080,1.778,46.7,46.7,46.7,9.4,9.4,9.4,46.7,9.4,32.0,179.0,46.0,0.0,0.0,0.183,0.0,0.0,0.0,0.941,0.0,0.71,50.5,49.5,47.0,54.2,53.2,51.9,38.3,38.2,37.5
IR_SU_NT_W1_H1_C4D4E4_0003.jpg,1920,1080,1.778,43.9,43.9,43.9,8.2,8.2,8.2,43.9,8.2,30.0,176.0,42.0,0.0,0.0,0.172,0.0,0.0,0.0,0.977,0.0,0.71,42.4,44.4,46.5,50.3,50.1,50.6,36.4,36.6,37.6
IR_SU_NT_W1_H1_C4D4E4_0004.jpg,1920,1080,1.778,49.1,49.1,49.1,9.3,9.3,9.3,49.1,9.3,35.0,177.0,50.0,0.0,0.0,0.193,0.0,0.0,0.0,0.921,0.0,0.72,51.4,53.1,52.7,55.3,55.1,55.1,39.7,39.8,39.8
IR_SU_NT_W1_H1_C4E4A2_0001.jpg,1920,1080,1.778,53.7,53.7,53.7,11.3,11.3,11.3,53.7,11.3,34.0,197.0,55.0,0.0,0.0,0.21,0.0,0.0,0.0,0.831,0.0,0.72,59.1,58.4,62.1,58.8,59.0,61.4,41.1,40.9,42.1
IR_SU_NT_W1_H1_C4E4A2_0002.jpg,1920,1080,1.778,49.9,49.9,49.9,10.8,10.8,10.8,49.9,10.8,32.0,189.0,49.0,0.0,0.0,0.196,0.0,0.0,0.0,0.908,0.0,0.72,56.1,56.1,51.1,58.2,56.1,54.7,39.3,39.6,38.4
IR_SU_NT_W1_H1_C4E4A2_0003.jpg,1920,1080,1.778,45.5,45.5,45.5,8.4,8.4,8.4,45.5,8.4,32.0,182.0,46.0,0.0,0.0,0.178,0.0,0.0,0.0,0.972,0.0,0.71,48.0,47.9,47.5,51.0,50.7,50.8,37.7,37.9,38.0
IR_SU_NT_W1_H1_C4E4A2_0004.jpg,1920,1080,1.778,51.3,51.3,51.3,10.7,10.7,10.7,51.3,10.7,34.0,200.0,50.0,0.0,0.0,0.201,0.0,0.0,0.0,0.875,0.0,0.73,59.7,53.7,53.9,57.0,57.3,57.3,42.6,40.7,39.9
IR_SU_NT_W1_H1_C4E4_0001.jpg,1920,1080,1.778,50.9,50.9,50.9,10.3,10.3,10.3,50.9,10.3,34.0,183.0,52.0,0.0,0.0,0.199,0.0,0.0,0.0,0.889,0.0,0.71,56.8,54.2,54.6,58.5,56.9,56.8,40.4,39.6,40.0
IR_SU_NT_W1_H1_C4E4_0002.jpg,1920,1080,1.778,46.6,46.6,46.6,9.2,9.2,9.2,46.6,9.2,32.0,177.0,46.0,0.0,0.0,0.183,0.0,0.0,0.0,0.942,0.0,0.7,51.0,49.4,46.1,54.2,53.1,51.8,38.2,38.2,37.4
IR_SU_NT_W1_H1_C4E4_0003.jpg,1920,1080,1.778,49.3,49.3,49.3,9.5,9.5,9.5,49.3,9.5,33.0,185.0,48.0,0.0,0.0,0.193,0.0,0.0,0.0,0.935,0.0,0.72,50.3,56.3,60.7,51.3,51.9,52.4,38.3,40.2,42.3
IR_SU_NT_W1_H1_C4E4_0004.jpg,1920,1080,1.778,49.3,49.3,49.3,9.3,9.3,9.3,49.3,9.3,35.0,183.0,49.0,0.0,0.0,0.193,0.0,0.0,0.0,0.917,0.0,0.71,53.4,51.8,51.6,55.9,55.3,55.7,40.4,39.7,39.7
IR_SU_NT_W1_H1_C4_0001.jpg,1920,1080,1.778,54.3,54.3,54.3,11.5,11.5,11.5,54.3,11.5,33.0,173.0,55.0,0.0,0.0,0.213,0.0,0.0,0.0,0.783,0.0,0.71,62.7,59.6,59.2,61.6,59.9,61.2,42.2,41.2,41.0
IR_SU_NT_W1_H1_C4_0002.jpg,1920,1080,1.778,43.2,43.2,43.2,8.4,8.4,8.4,43.2,8.4,32.0,184.0,41.0,0.0,0.0,0.17,0.0,0.0,0.0,0.97,0.0,0.7,42.0,42.3,43.9,50.7,50.6,50.6,36.1,36.4,36.7
IR_SU_NT_W1_H1_C4_0003.jpg,1920,1080,1.778,45.5,45.5,45.5,7.7,7.7,7.7,45.5,7.7,32.0,182.0,46.0,0.0,0.0,0.178,0.0,0.0,0.0,0.976,0.0,0.7,47.8,48.1,47.6,50.8,50.5,50.5,37.9,37.9,38.0
