순번,생산라인코드,생산라인명,생산일자,발생시간,종료시간,오류조치시간,비가동코드,Error_Message,품목코드,품목명,오류발생작업장명
3,C088,냉동밥 취반#1,2025-02-23,2:30,3:30,60,W0034B1,품목 교체,2BA03159,비비고깍두기볶음밥200g(재),쿠킹실
15,C088,냉동밥 취반#1,2025-03-22,5:45,6:45,60,W0034B1,품목 교체,2BA03299,날치알이톡톡터지는알밥(알밥)(재),쿠킹실
11,D088,냉동밥 내포장#1,2025-03-26,18:30,19:21,51,W005722,공정,1BA03225,무명식당돈육장조림비빔밥(알밥),충전실
5,C088,냉동밥 취반#1,2025-03-29,10:20,12:00,100,W0034B1,품목 교체,2BA03159,비비고깍두기볶음밥200g(재),쿠킹실
12,C088,냉동밥 취반#1,2025-04-02,21:20,22:20,60,W0034B1,품목 교체,2BA03066,CJ새우볶음밥(재),쿠킹실
5,D088,냉동밥 내포장#1,2025-04-02,15:07,15:40,33,W0054F2,세부 세척,1BA03066,CJ새우볶음밥*5ea,충전실
8,C088,냉동밥 취반#1,2025-04-04,14:30,15:30,60,W0034B1,품목 교체,2BA03069,CJ낙지볶음밥(재),쿠킹실
10,D087,냉동밥 내포장#2,2025-04-10,1:50,2:47,57,W005722,공정,1BA03119,홍익돈까스 야채볶음밥,충전실
6,D087,냉동밥 내포장#2,2025-04-11,17:58,20:00,122,W0054F1,품목 교체,1BA03158,비비고불고기비빔밥200g,충전실
4,D088,냉동밥 내포장#1,2025-04-12,8:55,10:27,92,W0054F1,품목 교체,1BA03322,게살새우볶음밥,충전실
7,D088,냉동밥 내포장#1,2025-04-12,15:36,18:59,203,W0054F1,품목 교체,1BA03321,치즈불닭볶음밥,충전실
15,C088,냉동밥 취반#1,2025-04-18,2:20,2:40,20,W003721,충진 미종료,2BA03175,매콤낙지볶음밥(노브랜드)(재),쿠킹실
1,D087,냉동밥 내포장#2,2025-04-18,8:04,10:15,131,W005722,공정,1BA03200,비비고새우볶음밥210g(알밥),충전실
7,C087,냉동밥 취반#2,2025-04-24,13:30,14:30,60,W0034B2,세부 세척,2BA03200,비비고새우볶음밥210g(알밥)(재),쿠킹실
4,D087,냉동밥 내포장#2,2025-04-24,13:43,14:20,37,W0054F2,세부 세척,1BA03200,비비고새우볶음밥210g(알밥),충전실
